key,value,date
Elaine Cohen,0,2002
Elaine Cohen,0,2003
Elaine Cohen,4.0,2004
Elaine Cohen,0,2005
Elaine Cohen,0,2006
Elaine Cohen,0,2007
Elaine Cohen,0,2008
Elaine Cohen,1.0,2009
Elaine Cohen,0,2010
Elaine Cohen,0,2011
Elaine Cohen,0,2012
Elaine Cohen,0,2013
Elaine Cohen,0,2014
Elaine Cohen,0,2015
S. Azarm,2.0,2002
S. Azarm,2.0,2003
S. Azarm,3.0,2004
S. Azarm,0,2005
S. Azarm,1.0,2006
S. Azarm,0,2007
S. Azarm,1.0,2008
S. Azarm,3.0,2009
S. Azarm,2.0,2010
S. Azarm,2.0,2011
S. Azarm,1.0,2012
S. Azarm,0,2013
S. Azarm,0,2014
S. Azarm,0,2015
Kazuhiro Izui,2.0,2002
Kazuhiro Izui,2.0,2003
Kazuhiro Izui,3.0,2004
Kazuhiro Izui,4.0,2005
Kazuhiro Izui,2.0,2006
Kazuhiro Izui,3.0,2007
Kazuhiro Izui,4.0,2008
Kazuhiro Izui,2.0,2009
Kazuhiro Izui,0,2010
Kazuhiro Izui,0,2011
Kazuhiro Izui,0,2012
Kazuhiro Izui,0,2013
Kazuhiro Izui,0,2014
Kazuhiro Izui,0,2015
Michel Bigand,0,2002
Michel Bigand,1.0,2003
Michel Bigand,1.0,2004
Michel Bigand,1.0,2005
Michel Bigand,0,2006
Michel Bigand,0,2007
Michel Bigand,0,2008
Michel Bigand,0,2009
Michel Bigand,0,2010
Michel Bigand,0,2011
Michel Bigand,0,2012
Michel Bigand,0,2013
Michel Bigand,0,2014
Michel Bigand,0,2015
Timothy W. Simpson,1.0,2002
Timothy W. Simpson,6.0,2003
Timothy W. Simpson,4.0,2004
Timothy W. Simpson,7.0,2005
Timothy W. Simpson,9.0,2006
Timothy W. Simpson,5.0,2007
Timothy W. Simpson,8.0,2008
Timothy W. Simpson,4.0,2009
Timothy W. Simpson,2.0,2010
Timothy W. Simpson,3.0,2011
Timothy W. Simpson,2.0,2012
Timothy W. Simpson,4.0,2013
Timothy W. Simpson,2.0,2014
Timothy W. Simpson,4.0,2015
P. Gu,1.0,2002
P. Gu,0,2003
P. Gu,2.0,2004
P. Gu,0,2005
P. Gu,0,2006
P. Gu,1.0,2007
P. Gu,0,2008
P. Gu,0,2009
P. Gu,1.0,2010
P. Gu,0,2011
P. Gu,0,2012
P. Gu,0,2013
P. Gu,0,2014
P. Gu,0,2015
S. Y. Cheing,0,2002
S. Y. Cheing,0,2003
S. Y. Cheing,2.0,2004
S. Y. Cheing,0,2005
S. Y. Cheing,0,2006
S. Y. Cheing,0,2007
S. Y. Cheing,0,2008
S. Y. Cheing,0,2009
S. Y. Cheing,0,2010
S. Y. Cheing,0,2011
S. Y. Cheing,0,2012
S. Y. Cheing,0,2013
S. Y. Cheing,0,2014
S. Y. Cheing,0,2015
Panos Y. Papalambros,2.0,2002
Panos Y. Papalambros,2.0,2003
Panos Y. Papalambros,2.0,2004
Panos Y. Papalambros,5.0,2005
Panos Y. Papalambros,4.0,2006
Panos Y. Papalambros,2.0,2007
Panos Y. Papalambros,1.0,2008
Panos Y. Papalambros,0,2009
Panos Y. Papalambros,4.0,2010
Panos Y. Papalambros,2.0,2011
Panos Y. Papalambros,2.0,2012
Panos Y. Papalambros,2.0,2013
Panos Y. Papalambros,3.0,2014
Panos Y. Papalambros,3.0,2015
Farrokh Mistree,3.0,2002
Farrokh Mistree,1.0,2003
Farrokh Mistree,2.0,2004
Farrokh Mistree,5.0,2005
Farrokh Mistree,4.0,2006
Farrokh Mistree,3.0,2007
Farrokh Mistree,1.0,2008
Farrokh Mistree,3.0,2009
Farrokh Mistree,2.0,2010
Farrokh Mistree,1.0,2011
Farrokh Mistree,0,2012
Farrokh Mistree,3.0,2013
Farrokh Mistree,5.0,2014
Farrokh Mistree,2.0,2015
W. F. Lu,0,2002
W. F. Lu,0,2003
W. F. Lu,2.0,2004
W. F. Lu,1.0,2005
W. F. Lu,0,2006
W. F. Lu,0,2007
W. F. Lu,0,2008
W. F. Lu,0,2009
W. F. Lu,0,2010
W. F. Lu,0,2011
W. F. Lu,0,2012
W. F. Lu,0,2013
W. F. Lu,0,2014
W. F. Lu,0,2015
Jian Tu,0,2002
Jian Tu,1.0,2003
Jian Tu,2.0,2004
Jian Tu,0,2005
Jian Tu,0,2006
Jian Tu,0,2007
Jian Tu,0,2008
Jian Tu,0,2009
Jian Tu,0,2010
Jian Tu,0,2011
Jian Tu,0,2012
Jian Tu,0,2013
Jian Tu,0,2014
Jian Tu,0,2015
Ghassen Harmel,0,2002
Ghassen Harmel,0,2003
Ghassen Harmel,1.0,2004
Ghassen Harmel,0,2005
Ghassen Harmel,0,2006
Ghassen Harmel,0,2007
Ghassen Harmel,0,2008
Ghassen Harmel,0,2009
Ghassen Harmel,0,2010
Ghassen Harmel,0,2011
Ghassen Harmel,0,2012
Ghassen Harmel,0,2013
Ghassen Harmel,0,2014
Ghassen Harmel,0,2015
D. Xue,0,2002
D. Xue,0,2003
D. Xue,2.0,2004
D. Xue,2.0,2005
D. Xue,0,2006
D. Xue,1.0,2007
D. Xue,0,2008
D. Xue,1.0,2009
D. Xue,1.0,2010
D. Xue,0,2011
D. Xue,0,2012
D. Xue,0,2013
D. Xue,0,2014
D. Xue,0,2015
G. Gary Wang,1.0,2002
G. Gary Wang,3.0,2003
G. Gary Wang,1.0,2004
G. Gary Wang,1.0,2005
G. Gary Wang,1.0,2006
G. Gary Wang,3.0,2007
G. Gary Wang,1.0,2008
G. Gary Wang,1.0,2009
